"","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7"
"57099a509547b9f691002a458b0ae3af","Unassigned",NA,NA,NA,NA,NA,NA
"246af10fafcb572f11c37da2c79d124f","Unassigned",NA,NA,NA,NA,NA,NA
"052f2c950c746ec3cd5d97243b465831","Unassigned",NA,NA,NA,NA,NA,NA
"ca9fe1f4912e0974811ad959ec500650","Unassigned",NA,NA,NA,NA,NA,NA
"12a2fdfd17e7c157af6e54a04c2982ae","Unassigned",NA,NA,NA,NA,NA,NA
"b5b29c2c28b2f555ba8d49795592d535","D_0__Bacteria","D_1__Omnitrophicaeota","D_2__Omnitrophia","D_3__Omnitrophales","D_4__Omnitrophaceae","D_5__Candidatus Omnitrophus","D_6__uncultured prokaryote"
"cb9e1bc37ec8eaed134e1befb6005225","D_0__Bacteria",NA,NA,NA,NA,NA,NA
"2eba1eacc5974b287695b74a011db8ba","D_0__Bacteria","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Lactobacillaceae","D_5__Lactobacillus",NA
"c8102613e535a98157b271c4d53186f2","D_0__Bacteria","D_1__Patescibacteria","D_2__Parcubacteria","D_3__uncultured bacterium","D_4__uncultured bacterium","D_5__uncultured bacterium","D_6__uncultured bacterium"
"7a33b3e2152ccf042ac9f717f693882f","D_0__Bacteria","D_1__Patescibacteria","D_2__Parcubacteria","D_3__uncultured bacterium","D_4__uncultured bacterium","D_5__uncultured bacterium","D_6__uncultured bacterium"
"378e596813438095bd2d1ff910aaabbe","D_0__Bacteria","D_1__Patescibacteria","D_2__ABY1","D_3__Candidatus Magasanikbacteria","D_4__uncultured bacterium","D_5__uncultured bacterium","D_6__uncultured bacterium"
"fa71b9a79467666a3404c1ea3b01fa18","D_0__Bacteria","D_1__Patescibacteria","D_2__ABY1","D_3__Candidatus Magasanikbacteria","D_4__uncultured Parcubacteria group bacterium","D_5__uncultured Parcubacteria group bacterium","D_6__uncultured Parcubacteria group bacterium"
"eb877a981116fa1951e5743a04bbedfc","D_0__Bacteria","D_1__Patescibacteria","D_2__Berkelbacteria","D_3__uncultured organism","D_4__uncultured organism","D_5__uncultured organism","D_6__uncultured organism"
"9437e4fa0cfc4294d4257a4c4c71e2b9","D_0__Bacteria",NA,NA,NA,NA,NA,NA
"3c1cbfc44ed02eb200bca4b6586f922e","D_0__Bacteria",NA,NA,NA,NA,NA,NA
"80d785d73d32dfa7420fe03b7b7b0750","D_0__Bacteria","D_1__Patescibacteria","D_2__Parcubacteria",NA,NA,NA,NA
"72586431b701e9d3e4f4364bc75eb439","D_0__Bacteria","D_1__Patescibacteria","D_2__Parcubacteria","D_3__Candidatus Yanofskybacteria","D_4__uncultured bacterium","D_5__uncultured bacterium","D_6__uncultured bacterium"
"9465a3e433791b33c780758245a098a4","D_0__Bacteria","D_1__Patescibacteria","D_2__Parcubacteria","D_3__Candidatus Yanofskybacteria","D_4__Candidatus Yanofskybacteria bacterium GW2011_GWF2_43_596","D_5__Candidatus Yanofskybacteria bacterium GW2011_GWF2_43_596","D_6__Candidatus Yanofskybacteria bacterium GW2011_GWF2_43_596"
"e3e33a9ae3ceac963b7730e1b4571c5d","D_0__Bacteria","D_1__Patescibacteria","D_2__Parcubacteria","D_3__Candidatus Yanofskybacteria","D_4__Candidatus Yanofskybacteria bacterium GW2011_GWF2_43_596","D_5__Candidatus Yanofskybacteria bacterium GW2011_GWF2_43_596","D_6__Candidatus Yanofskybacteria bacterium GW2011_GWF2_43_596"
"c2655302d182d1d734f08d4e8bfc7d68","D_0__Bacteria","D_1__Patescibacteria","D_2__Parcubacteria","D_3__Candidatus Nomurabacteria","D_4__uncultured Parcubacteria group bacterium","D_5__uncultured Parcubacteria group bacterium","D_6__uncultured Parcubacteria group bacterium"
"076456dd272403ef4e171c87d18e59e5","D_0__Bacteria","D_1__Patescibacteria","D_2__Parcubacteria","D_3__Candidatus Azambacteria","D_4__Candidatus Azambacteria bacterium GW2011_GWF2_42_22","D_5__Candidatus Azambacteria bacterium GW2011_GWF2_42_22","D_6__Candidatus Azambacteria bacterium GW2011_GWF2_42_22"
"b20eb4e7969e9246ca76d719a2e89c25","D_0__Bacteria","D_1__Patescibacteria","D_2__Parcubacteria","D_3__Candidatus Kaiserbacteria","D_4__uncultured bacterium","D_5__uncultured bacterium","D_6__uncultured bacterium"
"7190f8e036d640790c847d4afc528b9b","D_0__Bacteria","D_1__Patescibacteria","D_2__Parcubacteria","D_3__Candidatus Kaiserbacteria","D_4__groundwater metagenome","D_5__groundwater metagenome","D_6__groundwater metagenome"
"2f52735bc0dae8e89c79d80fa749f498","D_0__Bacteria","D_1__Patescibacteria","D_2__Parcubacteria","D_3__Candidatus Kaiserbacteria","D_4__metagenome","D_5__metagenome","D_6__metagenome"
"23eb9c8de335a6b3e40a1f59a2dec80e","D_0__Bacteria","D_1__Patescibacteria","D_2__Parcubacteria","D_3__uncultured bacterium","D_4__uncultured bacterium","D_5__uncultured bacterium","D_6__uncultured bacterium"
"d425159199fd3ba200f191cd8faa0593","D_0__Bacteria","D_1__Patescibacteria","D_2__Parcubacteria","D_3__Candidatus Kaiserbacteria","D_4__uncultured bacterium","D_5__uncultured bacterium","D_6__uncultured bacterium"
"99b8f795e58e44bc639b6e3109d4fe34","D_0__Bacteria","D_1__Patescibacteria","D_2__Parcubacteria","D_3__Candidatus Nomurabacteria","D_4__uncultured bacterium","D_5__uncultured bacterium","D_6__uncultured bacterium"
"16641c50ca2fad46bb92693b7d872db8","D_0__Bacteria","D_1__Patescibacteria","D_2__Parcubacteria","D_3__Candidatus Yonathbacteria","D_4__uncultured bacterium","D_5__uncultured bacterium","D_6__uncultured bacterium"
"918a06f7b38c07617ef7aad6ab3fbbc6","D_0__Bacteria","D_1__Patescibacteria","D_2__Parcubacteria","D_3__Candidatus Moranbacteria","D_4__uncultured bacterium","D_5__uncultured bacterium","D_6__uncultured bacterium"
"0bf0ce8d4d49bf146baac2048b1e3de1","D_0__Bacteria","D_1__Patescibacteria","D_2__Parcubacteria",NA,NA,NA,NA
"989434a5ed803321c3b5cc57c7f60554","D_0__Bacteria","D_1__Patescibacteria","D_2__Parcubacteria","D_3__Candidatus Jorgensenbacteria","D_4__Candidatus Adlerbacteria bacterium GW2011_GWC1_50_9","D_5__Candidatus Adlerbacteria bacterium GW2011_GWC1_50_9","D_6__Candidatus Adlerbacteria bacterium GW2011_GWC1_50_9"
"40ced13a540b7c5f7fe23011a80047b8","D_0__Bacteria","D_1__Patescibacteria","D_2__Parcubacteria",NA,NA,NA,NA
"8c864d8415e40b29c9ec69ebfa2de64d","D_0__Bacteria","D_1__Cyanobacteria","D_2__Oxyphotobacteria","D_3__Chloroplast",NA,NA,NA
"704f402759716034fcf1e3e3fc9ed34b","D_0__Bacteria","D_1__Cyanobacteria","D_2__Oxyphotobacteria","D_3__Chloroplast",NA,NA,NA
"2e90a55ddf95e7d8a0fbb777074433f8","D_0__Bacteria","D_1__Cyanobacteria","D_2__Oxyphotobacteria","D_3__Chloroplast","D_4__Monodopsis sp. MarTras21","D_5__Monodopsis sp. MarTras21","D_6__Monodopsis sp. MarTras21"
"814fd71791ab889e3f3489bb635dcd52","D_0__Bacteria","D_1__Cyanobacteria","D_2__Oxyphotobacteria","D_3__Chloroplast","D_4__Monodopsis sp. MarTras21","D_5__Monodopsis sp. MarTras21","D_6__Monodopsis sp. MarTras21"
"d213549f7d5b136307ea921c0ed847cd","D_0__Bacteria","D_1__Cyanobacteria","D_2__Oxyphotobacteria","D_3__Chloroplast",NA,NA,NA
"9bb1a339c2923cf1613d20d93d77649e","D_0__Bacteria","D_1__Cyanobacteria","D_2__Oxyphotobacteria","D_3__Chloroplast",NA,NA,NA
"eefbd1923e054da04fc32eb066d4bafb","D_0__Bacteria","D_1__Cyanobacteria","D_2__Oxyphotobacteria",NA,NA,NA,NA
"29c6d4c9e3d0f68414a377312a27d52e","D_0__Bacteria","D_1__Cyanobacteria","D_2__Oxyphotobacteria","D_3__Chloroplast","D_4__Eimeria praecox","D_5__Eimeria praecox","D_6__Eimeria praecox"
"7d95d841b1f43ef55c7d267b19c8a854","D_0__Bacteria","D_1__Cyanobacteria","D_2__Oxyphotobacteria","D_3__Chloroplast","D_4__Eimeria praecox","D_5__Eimeria praecox","D_6__Eimeria praecox"
"08372f008d92cd64abd3d4b459f6f696","D_0__Bacteria","D_1__Cyanobacteria","D_2__Oxyphotobacteria","D_3__Chloroplast","D_4__Eimeria praecox","D_5__Eimeria praecox","D_6__Eimeria praecox"
"fd338c50448633d475662baf82b4f792","D_0__Bacteria","D_1__Cyanobacteria","D_2__Oxyphotobacteria","D_3__Chloroplast","D_4__Eimeria praecox","D_5__Eimeria praecox","D_6__Eimeria praecox"
"f8994aa6b9d4c56392e3a1c29db3778a","D_0__Bacteria","D_1__Cyanobacteria","D_2__Oxyphotobacteria","D_3__Chloroplast","D_4__Eimeria praecox","D_5__Eimeria praecox","D_6__Eimeria praecox"
"3a6e8c6b7a8e7c02d329d7c895913940","D_0__Bacteria","D_1__Cyanobacteria","D_2__Oxyphotobacteria","D_3__Chloroplast","D_4__Eimeria praecox","D_5__Eimeria praecox","D_6__Eimeria praecox"
"7c3f8de34dd25fb0ebea49975fbefe42","D_0__Bacteria","D_1__Cyanobacteria","D_2__Oxyphotobacteria","D_3__Chloroplast","D_4__Eimeria praecox","D_5__Eimeria praecox","D_6__Eimeria praecox"
"b5c2039479bf7866fe74adcb137002bd","D_0__Bacteria","D_1__Cyanobacteria","D_2__Oxyphotobacteria","D_3__Chloroplast","D_4__Eimeria praecox","D_5__Eimeria praecox","D_6__Eimeria praecox"
"10dac8727bef0e943190c47f58cc5a88","D_0__Bacteria","D_1__Cyanobacteria","D_2__Oxyphotobacteria","D_3__Chloroplast","D_4__Eimeria praecox","D_5__Eimeria praecox","D_6__Eimeria praecox"
"ce499708d07002f65c35a1488df6dac8","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria","D_5__Pythium ultimum","D_6__Pythium ultimum"
"f8a25b89e72724a83696dec1f3497272","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria","D_5__Phytophthora sp. Chile5","D_6__Phytophthora sp. Chile5"
"f86ae04f1e738c58bcb865977db662b3","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"ad0282f8d5c94a578d2643f441d5da4b","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"51bc8ef0296dfe5aafb5e3ebe4a6c497","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"bb775cd09b808687ededfaf07e513b87","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"8fd69b6ff8fb8033c1e063ae330913bc","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"53260fbf76c5b1aa0b18dd74ce5a7346","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria","D_5__Saccharum hybrid cultivar","D_6__Saccharum hybrid cultivar"
"a514d26b95db4e07d92a064a011b4048","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria","D_5__Saccharum hybrid cultivar","D_6__Saccharum hybrid cultivar"
"9c4db3b0820903142e248a79e2ed8abe","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria","D_5__Saccharum hybrid cultivar","D_6__Saccharum hybrid cultivar"
"15ba279c649c20fcc48ee3a9788fe24d","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"7ef0fd5f87369946a25f9c0b389d3e0f","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"f2599abbef0b4410e14d6f3f55f9092a","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria","D_5__Saccharum hybrid cultivar","D_6__Saccharum hybrid cultivar"
"c841ce8a17914e4564ac2e9a887be81c","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"f31e6e3e0ebd56f80127ec9da506be0b","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"e0c47a4eaa27727813a1e4eb29a4ade4","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"db363a50062b7a76203bb6e02623c4f2","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"dd8c31acb537777d1a217f5864d66631","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
